Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
,,,,,,,,,,,,,,
,878321006,,*1,,Not managed,,1,,,,,,,
,SAM10844-ND,CONN HEADER VERT 2POS 2.54MM,Batt In1,CMP-02766-001458-1,New From Design,Up to date,1,Samtec,TSW-102-07-F-S,Volume Production,Digikey,,0.11,0.11
,RKA2SGK055SMTR_LFS,Switch,"BOOT1, EN1",,Not managed,,2,,,,,,,
,603-CC603KRX5R8BB105,CAP CER 1UF 25V X5R 0603,"C1, C2, C4, C5",CMP-03422-000612-1,New From Design,Up to date,4,Yageo,CC0603KRX5R8BB105,Volume Production,Mouser,,0.03,0.3
,VJ0603V104ZXAPW1BC,"Chip Capacitor, 100 nF, - 20% to + 80%, 50 V, -30 to 85 degC, 0603 (1608 Metric), RoHS, Tape and Reel","C3, C6, C7",CMP-1035-02594-2,Released,Up to date,3,Vishay Vitramon,VJ0603V104ZXAPW1BC,Volume Production,Arrow Electronics,,0.006,0.018
,311-1785-1-ND,CAP CER 4.7UF 16V X5R 0603,"C8, C9",CMP-03422-001236-1,New From Design,Up to date,2,Yageo,CC0603KRX5R7BB475,Volume Production,Digikey,,0.19,0.38
,22uF 0603,Cap Ceramic 22uF 10V X5R 20% SMD 0603 85Â°C Paper T/R,"C10, C11",,Not managed,,2,,,,,,,
,SSM-106-L-SH,,J1,,Not managed,,1,,,,,,,
,311-10.0KHRDKR-ND,RES 10K OHM 1% 1/10W 0603,"R1, R2, R3, R24, R26",CMP-2100-03664-2,Released,Up to date,5,Yageo,RC0603FR-0710KL,Volume Production,Digikey,,0.012,0.12
,13-RC0603FR-0733RLCT-ND,"Chip Resistor, 33 Ohm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R4, R6, R8, R10, R12, R14, R16, R18",CMP-2000-06939-1,Released,Up to date,8,Yageo,RC0603FR-0733RL,Volume Production,Digikey,,0.011,0.11
,49AK1892,,"R5, R7, R9, R11, R13, R15, R17, R19",CMP-2000-03920-1,Released,Up to date,8,Yageo,RC0603FR-0717K4L,Volume Production,Newark,,0.003,0.024
,RC0603FR-07470RP,RES SMD 470 OHM 1% 1/10W 0603,"R20, R21, R22",,Not managed,,3,,,,,,,
,68R0164,,R23,CMP-2000-04254-1,Released,Up to date,1,Yageo,RC0603JR-0720RL,Volume Production,Newark,,0.065,0.065
,603-RC0603FR-0740K2L,RES 40.2K OHM 1% 1/10W 0603,R25,CMP-03412-037816-1,New From Design,Up to date,1,Yageo,RC0603FR-0740K2L,Volume Production,Mouser,,0.1,0.1
,49AK1954,,R27,CMP-2000-03962-1,Released,Up to date,1,Yageo,RC0603FR-0723K2L,Volume Production,Newark,,0.003,0.003
,MCP3208T-CI/SL,"2.7V 4-Channel/8-Channel 12-Bit A/D Converters with SPI Serial Interface, 16-Pin SOIC 150mil, C Performance Grade, Industrial Temperature, Tape and Reel",U1,CMP-0188-00450-2,Released,Up to date,1,Microchip,MCP3208T-CI/SL,Volume Production,Arrow Electronics,,4.26,4.26
,ESP32-WROOM-32E_(16MB),,U2,,Not managed,,1,,,,,,,
,FZ2812-5050,,U3,,Not managed,,1,,,,,,,
,TLVM23625RDNR,,"U4, U5",,Not managed,,2,,,,,,,
